unit	class	families	line
vayupurana_01_frame-and-cosmogony_iast	vayubd	padmapurana,vayu	kīrttyate śiśumāraśca yasya pucche dhruvaḥ sthitaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,brahmapurana,skandapurana,vayu	tārārūpāṇi sarvāṇi nakṣatrāṇi grahaiḥ saha
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	nivāsā yatra kīrttyante devānāṃ puṇyakāriṇām
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,matsyapurana,vayu	sūryaraśmisahasre ca varṣaśītoṣṇaniḥsravaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	pravibhāgaśca raśmīnāṃ nāmataḥ karmato'rthataḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	parimāṇagatī cokte grahāṇāṃ sūryasaṃśrayāt
vayupurana_01_frame-and-cosmogony_iast	other	bhavisyapurana,nrsimhapurana,padmapurana,sivapurana	liṅgodbhavakathā puṇyā sarvapāpapraṇāśinī
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,matsyapurana,vayu	viśvarūpāt pradhānasya pariṇāmo'yamadbhutaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	pitṝṇāṃ dviprakārāṇāṃ tarpaṇaṃ cāmṛtasya vai
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	tataḥ parvāṇi kīrttyante parvaṇāñcaiva sandhayaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	svarga lokagatānāṃ ca prāptānāñcāpyadhogatim
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	pitṝṇāṃ dviprakārāṇāṃ śrāddhenānugraho mahān
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	yugasaṃkhyāpramāṇaṃ ca kīrtyate ca kṛte yuge
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	tretāyuge cāpakarṣādvārtāyāḥ saṃpravarttanam
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,markandeyapurana,nrsimhapurana,vayu	varṇānāmāśramāṇāñca saṃsthitirdharmatastathā
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	ṛṣīṇāṃ vasunā sārddhaṃ vasoścādhaḥ punargatiḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	praśaṃsā tapasaścoktā yugāvasthāśca kṛtsnaśaḥ
vayupurana_01_frame-and-cosmogony_iast	vayubd	brahmandapurana,vayu	dvāparasya kaleścātra saṅkṣepeṇa prakīrtanam
